id,name,annotation
b2925,G_b2925,"OrderedDict([('asap', 'ABE-0009600'), ('ecogene', 'EG10282'), ('ncbigene', '947415'), ('ncbigi', 'gi:16130826'), ('uniprot', 'P0AB71')])"
b2097,G_b2097,"OrderedDict([('asap', 'ABE-0006941'), ('ecogene', 'EG14062'), ('ncbigene', '946632'), ('ncbigi', 'gi:90111385'), ('uniprot', 'P0A991')])"
b0963,G_b0963,"OrderedDict([('asap', 'ABE-0003259'), ('ecogene', 'EG12307'), ('ncbigene', '945574'), ('ncbigi', 'gi:90111195'), ('uniprot', 'P0A731')])"
b1702,G_b1702,"OrderedDict([('asap', 'ABE-0005678'), ('ecogene', 'EG10759'), ('ncbigene', '946209'), ('ncbigi', 'gi:16129658'), ('uniprot', 'P23538')])"
b4025,G_b4025,"OrderedDict([('asap', 'ABE-0013163'), ('ecogene', 'EG10702'), ('ncbigene', '948535'), ('ncbigi', 'gi:16131851'), ('uniprot', 'P0A6T1')])"
b2926,G_b2926,"OrderedDict([('asap', 'ABE-0009605'), ('ecogene', 'EG10703'), ('ncbigene', '947414'), ('ncbigi', 'gi:16130827'), ('uniprot', 'P0A799')])"
b1850,G_b1850,"OrderedDict([('asap', 'ABE-0006164'), ('ecogene', 'EG10256'), ('ncbigene', '946367'), ('ncbigi', 'gi:16129803'), ('uniprot', 'P0A955')])"
b0767,G_b0767,"OrderedDict([('asap', 'ABE-0002611'), ('ecogene', 'EG13231'), ('ncbigene', '946398'), ('ncbigi', 'gi:16128735'), ('uniprot', 'P52697')])"
b3386,G_b3386,"OrderedDict([('asap', 'ABE-0011061'), ('ecogene', 'EG11960'), ('ncbigene', '947896'), ('ncbigi', 'gi:16131264'), ('uniprot', 'P0AG07')])"
b2464,G_b2464,"OrderedDict([('asap', 'ABE-0008115'), ('ecogene', 'EG11797'), ('ncbigene', '947006'), ('ncbigi', 'gi:16130389'), ('uniprot', 'P0A867')])"
b0008,G_b0008,"OrderedDict([('asap', 'ABE-0000027'), ('ecogene', 'EG11556'), ('ncbigene', '944748'), ('ncbigi', 'gi:16128002'), ('uniprot', 'P0A870')])"
b2465,G_b2465,"OrderedDict([('asap', 'ABE-0008117'), ('ecogene', 'EG12100'), ('ncbigene', '945865'), ('ncbigi', 'gi:16130390'), ('uniprot', 'P33570')])"
b2935,G_b2935,"OrderedDict([('asap', 'ABE-0009625'), ('ecogene', 'EG11427'), ('ncbigene', '947420'), ('ncbigi', 'gi:49176286'), ('uniprot', 'P27302')])"
b0678,G_b0678,"OrderedDict([('asap', 'ABE-0002304'), ('ecogene', 'EG10633'), ('ncbigene', '945290'), ('ncbigi', 'gi:16128654'), ('uniprot', 'P0A759')])"
b1478,G_b1478,"OrderedDict([('asap', 'ABE-0004928'), ('ecogene', 'EG12622'), ('ncbigene', '946036'), ('ncbigi', 'gi:90111280'), ('uniprot', 'P39451')])"
b4269,G_b4269,"OrderedDict([('asap', 'ABE-0013982'), ('ecogene', 'EG11436'), ('ncbigene', '948802'), ('ncbigi', 'gi:90111716'), ('uniprot', 'P27250')])"
b0493,G_b0493,"OrderedDict([('asap', 'ABE-0001709'), ('ecogene', 'EG13262'), ('ncbigene', '945337'), ('ncbigi', 'gi:16128477'), ('uniprot', 'P0AFP4')])"
b3588,G_b3588,"OrderedDict([('asap', 'ABE-0011718'), ('ecogene', 'EG12292'), ('ncbigene', '948104'), ('ncbigi', 'gi:90111619'), ('uniprot', 'P37685')])"
b3003,G_b3003,"OrderedDict([('asap', 'ABE-0009859'), ('ecogene', 'EG11292'), ('ncbigene', '947478'), ('ncbigi', 'gi:16130901'), ('uniprot', 'P0AG84')])"
b3011,G_b3011,"OrderedDict([('asap', 'ABE-0009888'), ('ecogene', 'EG13014'), ('ncbigene', '947493'), ('ncbigi', 'gi:16130909'), ('uniprot', 'Q46856')])"
b3903,G_b3903,"OrderedDict([('asap', 'ABE-0012736'), ('ecogene', 'EG11867'), ('ncbigene', '948400'), ('ncbigi', 'gi:49176441'), ('uniprot', 'P32170')])"
b2411,G_b2411,"OrderedDict([('asap', 'ABE-0007938'), ('ecogene', 'EG10534'), ('ncbigene', '946885'), ('ncbigi', 'gi:16130337'), ('uniprot', 'P15042')])"
b3996,G_b3996,"OrderedDict([('asap', 'ABE-0013063'), ('ecogene', 'EG11702'), ('ncbigene', '948498'), ('ncbigi', 'gi:49176450'), ('uniprot', 'P32664')])"
b4390,G_b4390,"OrderedDict([('asap', 'ABE-0014397'), ('ecogene', 'EG11335'), ('ncbigene', '948911'), ('ncbigi', 'gi:90111746'), ('uniprot', 'P27278')])"
b0639,G_b0639,"OrderedDict([('asap', 'ABE-0002187'), ('ecogene', 'EG13241'), ('ncbigene', '945248'), ('ncbigi', 'gi:16128622'), ('uniprot', 'P0A752')])"
b2103,G_b2103,"OrderedDict([('asap', 'ABE-0006958'), ('ecogene', 'EG14068'), ('ncbigene', '946459'), ('ncbigi', 'gi:16130041'), ('uniprot', 'P76422')])"
b2418,G_b2418,"OrderedDict([('asap', 'ABE-0007973'), ('ecogene', 'EG12642'), ('ncbigene', '946881'), ('ncbigi', 'gi:16130344'), ('uniprot', 'P40191')])"
b3831,G_b3831,"OrderedDict([('asap', 'ABE-0012528'), ('ecogene', 'EG11045'), ('ncbigene', '948987'), ('ncbigi', 'gi:16131680'), ('uniprot', 'P12758')])"
b4384,G_b4384,"OrderedDict([('asap', 'ABE-0014379'), ('ecogene', 'EG10222'), ('ncbigene', '945654'), ('ncbigi', 'gi:16132201'), ('uniprot', 'P0ABP8')])"
b3073,G_b3073,"OrderedDict([('asap', 'ABE-0010092'), ('ecogene', 'EG12718'), ('ncbigene', '947120'), ('ncbigi', 'gi:145698310'), ('uniprot', 'P42588')])"
b3708,G_b3708,"OrderedDict([('asap', 'ABE-0012133'), ('ecogene', 'EG11005'), ('ncbigene', '948221'), ('ncbigi', 'gi:90111643'), ('uniprot', 'P0A853')])"
b3008,G_b3008,"OrderedDict([('asap', 'ABE-0009878'), ('ecogene', 'EG10583'), ('ncbigene', '946240'), ('ncbigi', 'gi:16130906'), ('uniprot', 'P06721')])"
b3614,G_b3614,"OrderedDict([('asap', 'ABE-0011824'), ('ecogene', 'EG12298'), ('ncbigene', '948128'), ('ncbigi', 'gi:90111621'), ('uniprot', 'P37691')])"
b1134,G_b1134,"OrderedDict([('asap', 'ABE-0003818'), ('ecogene', 'EG13446'), ('ncbigene', '945689'), ('ncbigi', 'gi:16129097'), ('uniprot', 'P0AEI6')])"
b3642,G_b3642,"OrderedDict([('asap', 'ABE-0011904'), ('ecogene', 'EG10808'), ('ncbigene', '948157'), ('ncbigi', 'gi:16131513'), ('uniprot', 'P0A7E3')])"
b0415,G_b0415,"OrderedDict([('asap', 'ABE-0001444'), ('ecogene', 'EG11322'), ('ncbigene', '946453'), ('ncbigi', 'gi:16128400'), ('uniprot', 'P61714')])"
b3771,G_b3771,"OrderedDict([('asap', 'ABE-0012318'), ('ecogene', 'EG10496'), ('ncbigene', '948277'), ('ncbigi', 'gi:49176404'), ('uniprot', 'P05791')])"
b2293,G_b2293,"OrderedDict([('asap', 'ABE-0007567'), ('ecogene', 'EG14104'), ('ncbigene', '946777'), ('ncbigi', 'gi:90111414'), ('uniprot', 'P77625')])"
b3885,G_b3885,"OrderedDict([('asap', 'ABE-0012686'), ('ecogene', 'EG11850'), ('ncbigene', '948380'), ('ncbigi', 'gi:90111661'), ('uniprot', 'P0A8Y3')])"
b2579,G_b2579,"OrderedDict([('asap', 'ABE-0008489'), ('ecogene', 'EG11784'), ('ncbigene', '947068'), ('ncbigi', 'gi:16130504'), ('uniprot', 'P68066')])"
b3114,G_b3114,"OrderedDict([('asap', 'ABE-0010242'), ('ecogene', 'EG12758'), ('ncbigene', '947623'), ('ncbigi', 'gi:49176316'), ('uniprot', 'P42632')])"
b3952,G_b3952,"OrderedDict([('asap', 'ABE-0012937'), ('ecogene', 'EG11911'), ('ncbigene', '948453'), ('ncbigi', 'gi:49176447'), ('uniprot', 'P32675')])"
b0902,G_b0902,"OrderedDict([('asap', 'ABE-0003068'), ('ecogene', 'EG10028'), ('ncbigene', '945517'), ('ncbigi', 'gi:16128869'), ('uniprot', 'P0A9N4')])"
b0903,G_b0903,"OrderedDict([('asap', 'ABE-0003071'), ('ecogene', 'EG10701'), ('ncbigene', '945514'), ('ncbigi', 'gi:16128870'), ('uniprot', 'P09373')])"
b3951,G_b3951,"OrderedDict([('asap', 'ABE-0012934'), ('ecogene', 'EG11910'), ('ncbigene', '948454'), ('ncbigi', 'gi:16131789'), ('uniprot', 'P32674')])"
b4152,G_b4152,"OrderedDict([('asap', 'ABE-0013598'), ('ecogene', 'EG10332'), ('ncbigene', '948680'), ('ncbigi', 'gi:16131977'), ('uniprot', 'P0A8Q0')])"
b4153,G_b4153,"OrderedDict([('asap', 'ABE-0013602'), ('ecogene', 'EG10331'), ('ncbigene', '948666'), ('ncbigi', 'gi:16131978'), ('uniprot', 'P0AC47')])"
b4154,G_b4154,"OrderedDict([('asap', 'ABE-0013604'), ('ecogene', 'EG10330'), ('ncbigene', '948667'), ('ncbigi', 'gi:16131979'), ('uniprot', 'P00363')])"
b4151,G_b4151,"OrderedDict([('asap', 'ABE-0013595'), ('ecogene', 'EG10333'), ('ncbigene', '948668'), ('ncbigi', 'gi:16131976'), ('uniprot', 'P0A8Q3')])"
b0871,G_b0871,"OrderedDict([('asap', 'ABE-0002958'), ('ecogene', 'EG10754'), ('ncbigene', '946132'), ('ncbigi', 'gi:16128839'), ('uniprot', 'P07003')])"
b2297,G_b2297,"OrderedDict([('asap', 'ABE-0007582'), ('ecogene', 'EG20173'), ('ncbigene', '946778'), ('ncbigi', 'gi:16130232'), ('uniprot', 'P0A9M8')])"
b2458,G_b2458,"OrderedDict([('asap', 'ABE-0008097'), ('ecogene', 'EG14188'), ('ncbigene', '946940'), ('ncbigi', 'gi:16130383'), ('uniprot', 'P77218')])"
b3115,G_b3115,"OrderedDict([('asap', 'ABE-0010245'), ('ecogene', 'EG11172'), ('ncbigene', '947635'), ('ncbigi', 'gi:145698313'), ('uniprot', 'P11868')])"
b1849,G_b1849,"OrderedDict([('asap', 'ABE-0006162'), ('ecogene', 'EG11809'), ('ncbigene', '946368'), ('ncbigi', 'gi:16129802'), ('uniprot', 'P33221')])"
