,fluxes,kcat,MW,kcat_MW,equ
UPPDC1,8.21777539570741e-05,2916.0,39.2481,74.2965901534087,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
TMDPP,0.0,30479.0006232,94.4142,322.8222091931087,pi_c + thymd_c --> 2dr1p_c + thym_c
EX_ade_e,0.0,,,,ade_e --> 
EX_4abut_e,0.0,,,,4abut_e --> 
EX_ac_e,0.21454142540472265,,,,ac_e --> 
EX_akg_e,0.0,,,,akg_e --> 
EX_ala__L_e,0.0,,,,ala__L_e --> 
EX_arg__L_e,0.0,,,,arg__L_e --> 
EX_asp__L_e,0.0,,,,asp__L_e --> 
EX_cytd_e,0.0,,,,cytd_e --> 
EX_dcyt_e,0.0,,,,dcyt_e --> 
EX_fum_e,0.0,,,,fum_e --> 
EX_glu__L_e,0.0,,,,glu__L_e --> 
EX_gua_e,0.0,,,,gua_e --> 
HCO3E_num1,0.0,32760.0,100.3871,326.33675043905043,co2_c + h2o_c --> h_c + hco3_c
IMPC,0.0,17248.074814800002,57.3292,300.86020413332125,h2o_c + imp_c --> fprica_c
IMPD,0.0,6480.0,208.0898,31.140401884186534,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
ECOAH4_num1,0.0,41618.871828,77.0722,539.9984926860789,3hdcoa_c --> dc2coa_c + h2o_c
GLUTRS,0.0013148440633131855,324.0,53.8157,6.020547907023415,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TMPPP,8.21777539570741e-05,72.0,23.0153,3.128353747289846,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
URIK1,0.0,19423.538298,24.3531,797.5797043497541,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,0.0,9433.6233336,24.3531,387.3684801359991,gtp_c + uri_c --> gdp_c + h_c + ump_c
CYTDK1,0.0,9981.4541004,24.3531,409.8637996969585,atp_c + cytd_c --> adp_c + cmp_c + h_c
CYTDK2,0.0,9559.0893528,24.3531,392.5204328319597,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,0.08963197641018482,10439.9018712,67.8824,153.7939417463142,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT_num1,0.0,17665.8458472,67.8824,260.2419161255347,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5_num1,0.0,9864.9134928,23.586,418.25292515899264,atp_c + dgdp_c --> adp_c + dgtp_c
DHORTS,0.0,37265.833836,77.6548,479.8909254289497,dhor__S_c + h2o_c --> cbasp_c + h_c
OMPDC,0.12190130098757991,86400.0,52.7005,1639.4531361182533,h_c + orot5p_c --> co2_c + ump_c
CS,0.396219119428764,104400.0,288.0899,362.3868799288,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,0.396219119428764,39600.0,91.5134,432.72351371493136,icit_c + nadp_c --> akg_c + co2_c + nadph_c
ACALD_num1,0.0,347838.28218,33.4425,10401.084912312175,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c
ACS,0.0,32028.8113296,72.0936,444.2670546289824,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
PPA_num1,0.0,303342.672204,116.2719,2608.907846212197,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK,0.0,97061.545872,59.6435,1627.3616717999446,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,0.0,60940.100376,252.7893,241.0707271866333,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALAR_num1,0.015360238297931667,113967.72324,77.6892,1466.9699680264437,ala__L_c --> ala__D_c
ALATA_L_num1,0.0,63159.7104,91.0347,693.7981934361293,akg_c + ala__L_c --> glu__L_c + pyr_c
XYLK_num1,0.0,24801.4977948,122.1788,202.99346363526243,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,0.08963197641018482,59351.153832,64.581,919.018810981558,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,0.0,45670.441968,224.9231,203.04913976376812,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,0.0,158919.13972799998,44.37,3581.6799578093305,r1p_c --> r5p_c
ASPTA_num1,0.0,13921.6490172,87.1467,159.7495833714874,akg_c + asp__L_c --> glu__L_c + oaa_c
FBP_num1,0.0,274394.256768,68.6469,3997.183511098097,fdp_c + h2o_c --> f6p_c + pi_c
GLGC,0.0,18829.6156188,194.7906,96.66593572174426,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
PYK_num1,0.0,427444.77816,205.4286,2080.7461967807794,adp_c + h_c + pep_c --> atp_c + pyr_c
A5PISO_num1,0.0,55549.16712,140.7843,394.56933138141113,ru5p__D_c --> ara5p_c
EX_met__L_e,0.0,,,,met__L_e --> 
EX_metsox_S__L_e,0.0,,,,metsox_S__L_e --> 
IPPMIb,0.0,23255.0945712,72.3693,321.339222172938,2ippm_c + h2o_c --> 3c3hmp_c
ACHBS_num1,0.1070628730017703,67064.871564,143.0927,468.6812923650193,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
ACLS_num1,0.0,241177.320468,161.9222,1489.4642023638512,h_c + 2.0 pyr_c --> alac__S_c + co2_c
PSCVT,0.14044620363392873,75600.0,46.0958,1640.0626521288275,pep_c + skm5p_c --> 3psme_c + pi_c
ANS,0.020947220036690414,17526.9833028,228.7288,76.62779371377806,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
ANPRT,0.020947220036690414,18000.0,113.7399,158.2558099664234,anth_c + prpp_c --> ppi_c + pran_c
CHORM_num1,0.0,123098.130864,86.2227,1427.6765963487571,chor_c --> pphn_c
CHORS,0.14044620363392873,151200.0,156.5498,965.8268487088452,3psme_c --> chor_c + pi_c
IGPS,0.020947220036690414,18000.0,49.4923,363.6929380934004,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
EX_crn_e,0.0,,,,crn_e --> 
EX_fe3_e,0.0,,,,fe3_e --> 
EX_glcn_e,0.0,,,,glcn_e --> 
EX_gln__L_e,0.0,,,,gln__L_e --> 
EX_glyc_e,0.0,,,,glyc_e --> 
EX_man_e,0.0,,,,man_e --> 
EX_mn2_e,0.0,,,,mn2_e --> 
EX_rib__D_e,0.0,,,,rib__D_e --> 
EX_sbt__D_e,0.0,,,,sbt__D_e --> 
ECOAH6_num1,0.0,36593.980488,77.0722,474.8012965505072,3htdcoa_c --> h2o_c + td2coa_c
ENO,13.326510420001364,86400.0,91.3099,946.2281746010016,2pg_c --> h2o_c + pep_c
FBA_num1,6.618245692570828,37445.931792,78.2945,478.2702717559981,fdp_c --> dhap_c + g3p_c
MGSA,0.0,10091.6424504,101.5115,99.41378514158497,dhap_c --> mthgxl_c + pi_c
PPS,0.0,370888.94268,174.8702,2120.938517140142,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
PGI,5.04244353057785,255600.0,123.0595,2077.044031545716,g6p_c --> f6p_c
PGK,0.0,81612.68644800001,41.1182,1984.8312048679172,3pg_c + atp_c --> 13dpg_c + adp_c
EDA,0.0,44337.531384,66.8521,663.2182292553263,2ddg6p_c --> g3p_c + pyr_c
PGL,2.844770893378895,662400.0,36.3076,18244.114179951303,6pgl_c + h2o_c --> 6pgc_c + h_c
RPE,1.6106219450239037,198533.187612,24.5542,8085.508288276547,ru5p__D_c --> xu5p__D_c
TALA_num1,0.0,49937.715972,70.4385,708.9548467386443,g3p_c + s7p_c --> e4p_c + f6p_c
TKT1_num1,0.0,182904.1236,144.4235,1266.4429514587307,r5p_c + xu5p__D_c --> g3p_c + s7p_c
G6PDA,0.0,151224.255216,178.6452,846.5061206010573,gam6p_c + h2o_c --> f6p_c + nh4_c
ALCD2x_num1,0.0,65388.128904000005,3845.0896,17.005619037850252,etoh_c + nad_c --> acald_c + h_c + nadh_c
ALDD2y_num1,0.0,22093.1682012,29.4102,751.2076830895403,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
RMI,0.0,34888.9751748,188.7978,184.7954540508417,rmn_c --> rml_c
EX_ura_e,0.0,,,,ura_e --> 
EX_val__L_e,0.0,,,,val__L_e --> 
EX_xan_e,0.0,,,,xan_e --> 
FMNAT,8.21777539570741e-05,324.0,34.7343,9.327955364006185,atp_c + fmn_c + h_c --> fad_c + ppi_c
NADDP_num1,0.0,10638.0054396,59.3779,179.1576569666492,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NMNAT_num1,0.0,9306.7156656,189.3833,49.14221932768095,atp_c + h_c + nmn_c --> nad_c + ppi_c
HMPK1_num1,0.0,15927.764814,114.5344,139.0653359514696,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
NDPK6_num1,0.00964243547103498,9855.5755464,23.586,417.85701460188255,atp_c + dudp_c --> adp_c + dutp_c
NDPK8_num1,0.0,15171.8703768,23.586,643.2574568303231,atp_c + dadp_c --> adp_c + datp_c
PYNP2r,0.0,44972.730108,162.9545,275.98335798029507,pi_c + uri_c --> r1p_c + ura_c
DURIPP_num1,0.0,31920.232392,94.4142,338.087198662913,duri_c + pi_c --> 2dr1p_c + ura_c
PTRCTA,0.0,36125.794296,99.3227,363.7214281931522,akg_c + ptrc_c --> 4abutn_c + glu__L_c
CYSDS_num1,0.0,13182.3780156,172.8495,76.26506304964722,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
TRPAS2,0.0,23909.431644,211.0938,113.26449021240796,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c
NDP3_num1,0.0,34101.470469600004,17.4329,1956.1559160896927,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,0.0,28855.364306400003,35.3527,816.213876348907,cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7,0.0,33721.6093776,35.3527,953.8623465138448,h2o_c + udp_c --> h_c + pi_c + ump_c
EX_co2_e,2.792493312518555,,,,co2_e --> 
PMDPHT_num1,0.0,9471.6204372,30.1962,313.6692841218432,5aprbu_c + h2o_c --> 4r5au_c + pi_c
ILETA,0.0,22229.6857848,204.5619,108.66972679076602,akg_c + ile__L_c --> 3mop_c + glu__L_c
VALTA,0.0,9473.113026,204.5619,46.30927375039046,akg_c + val__L_c --> 3mob_c + glu__L_c
ORPT,0.0,11843.9159184,47.134,251.2817906055077,orot5p_c + ppi_c --> orot_c + prpp_c
RBFSa,0.0003287110158282964,36.0,969.3906,0.0371367331187242,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
DHAD2,0.1070628730017703,500400.0,131.0631,3818.008272351257,23dhmp_c --> 3mop_c + h2o_c
G1PP_num1,0.0,9921.6603216,22.7318,436.4661101012679,g1p_c + h2o_c --> glc__D_c + pi_c
PFL_num1,0.0,66265.409376,118.3894,559.7241761171185,coa_c + pyr_c --> accoa_c + for_c
FRD2,0.0,39705.414012,121.2166,327.55756234707127,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,40135.545684,121.2166,331.1060175256524,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
POX,0.0,11451.8452104,248.0455,46.1683248049249,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
PTAr_num1,0.0,547821.76428,463.0325,1183.1173066253448,accoa_c + pi_c --> actp_c + coa_c
ACKr_num1,0.0,168823.251792,42.4337,3978.51829541143,ac_c + atp_c --> actp_c + adp_c
EX_hxan_e,0.0,,,,hxan_e --> 
EX_ile__L_e,0.0,,,,ile__L_e --> 
EX_lac__L_e,0.0,,,,lac__L_e --> 
EX_leu__L_e,0.0,,,,leu__L_e --> 
EX_no3_e,0.0,,,,no3_e --> 
EX_orn_e,0.0,,,,orn_e --> 
EX_pro__L_e,0.0,,,,pro__L_e --> 
EX_pyr_e,9.065812772330881,,,,pyr_e --> 
EX_succ_e,0.0,,,,succ_e --> 
EX_thymd_e,0.0,,,,thymd_e --> 
EX_tyr__L_e,0.0,,,,tyr__L_e --> 
MOAT,0.007169732650174142,212400.0,47.2911,4491.331349873443,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
UDCPDPS,2.0268055908695218e-05,504.00000000000006,56.8883,8.859466709323359,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
USHD,0.007169732650174142,20475.11943,26.8942,761.3210071316493,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
LPADSS,0.007169732650174142,187200.0,84.7649,2208.46128527256,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
TDSK,0.007169732650174142,26884.7143848,35.5893,755.415655402045,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
EX_btn_e,0.0,,,,btn_e --> 
EX_ptrc_e,0.0,,,,ptrc_e --> 
EX_spmd_e,0.0,,,,spmd_e --> 
EX_thym_e,0.0,,,,thym_e --> 
EX_xtsn_e,0.0,,,,xtsn_e --> 
NTPP1_num1,0.0,29218.073666400003,14.9271,1957.384466266053,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
NTPP2_num1,0.0,10172.328768,14.9271,681.4671817030769,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
NTPTP1,0.0,28199.9018844,356.2976,79.14704416869493,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,0.0,58754.90664,356.2976,164.90402023477003,gtp_c + h2o_c --> gsn_c + pppi_c
IPMD_num1,0.0,17640.0,79.034,223.19508059822357,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,0.0,11996.2297404,142.2426,84.33640653643845,5aizc_c --> 5caiz_c
ADSL2r,0.16501661504686213,54000.0,206.1712,261.9182504636923,25aics_c --> aicar_c + fum_c
EX_fe2_e,0.0,,,,fe2_e --> 
PUNP5_num1,0.0,18776.875842,179.0077,104.8942355105395,ins_c + pi_c --> hxan_c + r1p_c
PUNP6_num1,0.0,19606.6029096,155.6995,125.92592082569308,din_c + pi_c --> 2dr1p_c + hxan_c
PUNP7,0.0,19138.3918956,179.0077,106.91379139333112,pi_c + xtsn_c --> r1p_c + xan_c
RNDR1_num1,0.0,9882.9052704,274.1399,36.05059048463941,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
RNDR3_num1,0.0,12566.4747876,270.3917,46.47507592725664,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4_num1,0.0,10859.4863892,270.3917,40.162055230245606,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
TMDS,0.00964243547103498,26640.0,60.9594,437.0121753166862,dump_c + mlthf_c --> dhf_c + dtmp_c
TMDK1,0.0,9983.4833304,23.4566,425.6151074921344,atp_c + thymd_c --> adp_c + dtmp_c + h_c
PPCDC,0.0002483758124083998,540.0,521.2577,1.0359559196919297,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,0.0,11273.5449468,191.6083,58.83641234121904,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,0.0,,,,glc__D_e --> 
EDD,0.0,48328.786944,64.639,747.6722558207894,6pgc_c --> 2ddg6p_c + h2o_c
DHQTi,0.14044620363392873,212400.0,54.9333,3866.507200550486,3dhq_c --> 3dhsk_c + h2o_c
PUNP1,0.0,17754.490677600003,155.6995,114.0304925680558,adn_c + pi_c --> ade_c + r1p_c
PUNP2,0.0,16381.1871504,155.6995,105.2102746020379,dad_2_c + pi_c --> 2dr1p_c + ade_c
PUNP3_num1,0.0,16041.2979096,179.0077,89.61233460683535,gsn_c + pi_c --> gua_c + r1p_c
LYSAM,0.0,26321.8049928,38.7496,679.2793988273427,lys__L_c --> 36dahx_c
DHAD1,0.3222130771039686,1512000.0,131.0631,11536.427873291568,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,0.0,11963.9428812,72.3693,165.31793013335763,3c2hmp_c --> 2ippm_c + h2o_c
EX_alltn_e,0.0,,,,alltn_e --> 
G3PD7,0.0,97058.715588,148.4235,653.93091786678,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
NADH9_num1,0.0,10293.4264572,40.34,255.1667441051066,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
NADH10_num1,0.0,21675.0415536,40.34,537.3089130788298,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
MDH,-3.276576952651851e-09,25920.0,64.6746,400.7755749552375,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
FUM_num1,0.38427939194797156,104334.9147,120.2106,867.9343976321557,fum_c + h2o_c --> mal__L_c
PYDXNK,0.0,9300.850736400002,61.6948,150.75582928220857,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,0.0,9300.8461428,51.0903,182.0472015783818,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
OHPBAT,0.0,3.6,79.5666,0.0452451154127485,glu__L_c + ohpb_c --> akg_c + phthr_c
EX_dgsn_e,0.0,,,,dgsn_e --> 
EX_arab__L_e,0.0,,,,arab__L_e --> 
EX_fru_e,0.0,,,,fru_e --> 
EX_gal_e,0.0,,,,gal_e --> 
EX_xyl__D_e,0.0,,,,xyl__D_e --> 
EX_duri_e,0.0,,,,duri_e --> 
EX_for_e,1.7777996261774744,,,,for_e --> 
EX_gly_e,0.0,,,,gly_e --> 
EX_h2_e,0.0,,,,h2_e --> 
EX_lys__L_e,0.0,,,,lys__L_e --> 
EX_ser__L_e,0.0,,,,ser__L_e --> 
EX_thm_e,0.0,,,,thm_e --> 
EX_trp__L_e,0.0,,,,trp__L_e --> 
GLUTRR,0.0013148440633131855,9680.9819904,92.6136,104.53088952810386,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,0.0,12943.083978,52.8224,245.03021403798385,adpglc_c --> adp_c + glycogen_c + h_c
GLCP_num1,0.0,26911.7995104,186.3451,144.4191422817128,glycogen_c + pi_c --> g1p_c
EX_din_e,0.0,,,,din_e --> 
EX_fmn_e,0.0,,,,fmn_e --> 
EX_gthox_e,0.0,,,,gthox_e --> 
HEMEOS,0.0,10296.682596,32.2485,319.2918305037444,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,0.0,99039.6036,30.3846,3259.5329081179284,amet_c + h_c --> ametam_c + co2_c
AGMT,0.0,34948.0972368,67.1141,520.7266019629259,agm_c + h2o_c --> ptrc_c + urea_c
ARGDC,0.0,10396.287288,844.2524,12.314193347866112,arg__L_c + h_c --> agm_c + co2_c
ARGSS,0.10900234169717875,10080.0,199.5936,50.50262132653552,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
AGPR,0.0,27140.712948,35.9521,754.9131468815451,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c
SPMS,0.0,20729.7816624,64.6428,320.6819887504873,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
G1SAT,0.0013148440633131855,324.0,90.7322,3.570948351301963,glu1sa_c --> 5aop_c
KDOCT2,0.014339465300348284,15120.0,27.6144,547.5404136972014,ctp_c + kdo_c --> ckdo_c + ppi_c
OAADC,0.0,17454.5641656,66.8521,261.0922344339221,h_c + oaa_c --> co2_c + pyr_c
MNNH,0.0,54841.495428,44.838,1223.10306945002,mana_c --> 2ddglcn_c + h2o_c
ALTRH,0.0,69858.52128,54.0931,1291.449764942294,altrn_c --> 2ddglcn_c + h2o_c
GUI1,0.0,86159.1663,53.9872,1595.9184084375554,glcur_c --> fruur_c
PGAMT,0.0,36035.473896,47.5436,757.945841206808,gam1p_c --> gam6p_c
UAGDP,0.03481978303092384,57600.0,147.5702,390.3227074300909,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
UAGCVT,0.01024015886528778,11880.0,44.8176,265.07443504337584,pep_c + uacgam_c --> pi_c + uaccg_c
GLUR,0.0,88419.509928,31.002,2852.058251983743,glu__D_c --> glu__L_c
UAG2E,0.0,57209.157144,84.4892,677.1179883819472,uacgam_c --> uacmam_c
EX_acald_e,0.0,,,,acald_e --> 
EX_melib_e,0.0,,,,melib_e --> 
MACPD,0.0,17858.856078,85.2266,209.5455653281957,h_c + malACP_c --> acACP_c + co2_c
DMQMT,0.0,22755.6714168,53.1109,428.45576739991225,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c
ICHORS_copy1,0.0,50074.224624,42.9316,1166.3721972626224,chor_c --> ichor_c
EX_sucr_e,0.0,,,,sucr_e --> 
EX_tre_e,0.0,,,,tre_e --> 
EX_zn2_e,0.0,,,,zn2_e --> 
HACD5_num1,0.0,40209.199668,159.1878,252.58970642222585,3oddcoa_c + h_c + nadh_c --> 3hddcoa_c + nad_c
DNMPPA,0.00024653326187119265,,,,dhpmp_c + h2o_c --> dhnpt_c + pi_c
HPPK2,0.00024653326187119265,576.0,18.0788,31.8605217160431,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
PTPATi,0.0002483758124083998,1980.0,107.0198,18.50124930153112,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c
HEX7,0.0,31530.9585312,32.4998,970.1893098172912,atp_c + fru_c --> adp_c + f6p_c + h_c
DXPRIi,0.0008803706466522401,11880.0,86.776,136.9042131464921,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
OPHBDC,8.21777539570741e-05,9504.9789516,333.6225,28.49022158757278,3ophb_c + h_c --> 2oph_c + co2_c
OHPHM,0.0,24071.539068,53.1109,453.2316166361331,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c
GHMT2r,0.3909442657509824,11520.0,90.6332,127.10574050127326,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c
DHORD2,0.12186518699705172,72000.0,36.7745,1957.8784211885952,dhor__S_c + q8_c --> orot_c + q8h2_c
ADK4,0.0,9420.7383576,23.586,399.4207732383617,amp_c + itp_c --> adp_c + idp_c
INSK,0.0,38426.539932,96.8976,396.5685417595482,atp_c + ins_c --> adp_c + h_c + imp_c
ABTA_num1,0.0,33853.97349,91.5493,369.7895395158674,4abut_c + akg_c --> glu__L_c + sucsal_c
SSALx,0.0,21752.9700192,99.4357,218.7641864963992,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT,0.0,20574.122238,209.4245,98.24123843198862,asp__L_c --> fum_c + nh4_c
SERD_L_num1,0.0,78829.072704,211.0938,373.431492085509,ser__L_c --> nh4_c + pyr_c
THRD_num1,0.0,74588.90950800001,148.9562,500.7439066517541,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4,0.0,,,,atp_c + man_c --> adp_c + h_c + man6p_c
KARA1,0.0,15966.4598028,216.2761,73.8244299892591,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c
KARA2,0.1070628730017703,2700.0,216.2761,12.48404238841,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
ACCOAC,0.8893409196873235,28564.8864444,252.4556,113.14815929771412,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK,0.000164724018021038,3960.000000000001,195.3983,20.266297096750588,atp_c + nad_c --> adp_c + h_c + nadp_c
ICHORS_copy2,0.0,24753.812418,97.5291,253.8095031944312,chor_c --> ichor_c
SUCBZS,0.0,25537.986612,35.4766,719.8544001398105,2shchc_c --> h2o_c + sucbz_c
DHBD,0.0,14589.9807336,104.9986,138.95405018352625,23ddhb_c + nad_c --> 23dhb_c + h_c + nadh_c
ICHORT,0.0,13917.9253932,32.5543,427.5295550265249,h2o_c + ichor_c --> 23ddhb_c + pyr_c
RBK_L1,0.0,26478.8845092,122.1788,216.7224142748169,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E_num1,0.0,84320.750844,25.2777,3335.7762313818107,ru5p__L_c --> xu5p__D_c
NTD2_num1,0.0,9722.7663408,25.3006,384.2899512580729,h2o_c + ump_c --> pi_c + uri_c
NTD4_num1,0.0,25068.671154,26.9004,931.907003390284,cmp_c + h2o_c --> cytd_c + pi_c
NTD5_num1,0.0,10199.2364712,45.4161,224.57314633356893,dtmp_c + h2o_c --> pi_c + thymd_c
NTD6_num1,0.0,14096.0551104,45.4161,310.3757282197283,damp_c + h2o_c --> dad_2_c + pi_c
LGTHL,0.0,9557.43858,29.8397,320.2927167498333,gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP_num1,0.0,29369.9036412,30.2013,972.471504246506,h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP,0.0,22698.0003096,30.2013,751.5570624310874,h2o_c + pdx5p_c --> pi_c + pydxn_c
HACD6_num1,0.0,31487.3037504,159.1878,197.79972931594008,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c
