id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,annotation,notes,objective_coefficient
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase","OrderedDict([('db4p_c', 1.0), ('for_c', 1.0), ('h_c', 1.0), ('ru5p__D_c', -1.0)])",0.0,1000.0,b3041,"OrderedDict([('bigg.reaction', 'DB4PS'), ('ec-code', '4.1.99.12'), ('kegg.reaction', 'R07281'), ('metanetx.reaction', 'MNXR97178'), ('sbo', 'SBO:0000375')])",,
RBFK,Riboflavin kinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('fmn_c', 1.0), ('h_c', 1.0), ('ribflv_c', -1.0)])",0.0,1000.0,b0025,"OrderedDict([('bigg.reaction', 'RBFK'), ('biocyc', 'META:RIBOFLAVINKIN-RXN'), ('ec-code', '2.7.1.26'), ('kegg.reaction', 'R00549'), ('metanetx.reaction', 'MNXR103429'), ('rhea', ['14357', '14358', '14359', '14360']), ('sbo', 'SBO:0000375')])",,
ACP1_FMN_num1,Acid phosphatase (FMN),"OrderedDict([('fmn_c', -1.0), ('h2o_c', -1.0), ('pi_c', 1.0), ('ribflv_c', 1.0)])",0.0,1000.0,b0446,"OrderedDict([('bigg.reaction', 'ACP1_FMN'), ('biocyc', 'META:RXN0-5187'), ('ec-code', ['3.1.3.102', '3.1.3.2']), ('kegg.reaction', 'R00548'), ('metanetx.reaction', 'MNXR95393'), ('rhea', ['35587', '35588', '35589', '35590']), ('sbo', 'SBO:0000375')])",,
RBFSb,Riboflavin synthase,"OrderedDict([('4r5au_c', 1.0), ('dmlz_c', -2.0), ('ribflv_c', 1.0)])",0.0,1000.0,b1662,"OrderedDict([('bigg.reaction', 'RBFSb'), ('biocyc', 'META:RIBOFLAVIN-SYN-RXN'), ('ec-code', '2.5.1.9'), ('kegg.reaction', 'R00066'), ('metanetx.reaction', 'MNXR103430'), ('rhea', ['20772', '20773', '20774', '20775']), ('sbo', 'SBO:0000375')])",,
EX_pi_e,Phosphate exchange,"OrderedDict([('pi_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'pi'), ('sbo', 'SBO:0000627')])","OrderedDict([('reflection', 'EX_pi_e_reverse')])",
EX_h_e,H+ exchange,"OrderedDict([('h_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'h'), ('sbo', 'SBO:0000627')])","OrderedDict([('reflection', 'EX_h_e_reverse')])",
DMATT,Dimethylallyltranstransferase,"OrderedDict([('dmpp_c', -1.0), ('grdp_c', 1.0), ('ipdp_c', -1.0), ('ppi_c', 1.0)])",0.0,1000.0,b0421,"OrderedDict([('bigg.reaction', 'DMATT'), ('biocyc', 'META:GPPSYN-RXN'), ('ec-code', '2.5.1.1'), ('kegg.reaction', 'R01658'), ('metanetx.reaction', 'MNXR97512'), ('rhea', ['22408', '22409', '22410', '22411']), ('sbo', 'SBO:0000375')])",,
GRTT,Geranyltranstransferase,"OrderedDict([('frdp_c', 1.0), ('grdp_c', -1.0), ('ipdp_c', -1.0), ('ppi_c', 1.0)])",0.0,1000.0,b0421,"OrderedDict([('bigg.reaction', 'GRTT'), ('biocyc', 'META:FPPSYN-RXN'), ('ec-code', '2.5.1.10'), ('kegg.reaction', 'R02003'), ('metanetx.reaction', 'MNXR99634'), ('rhea', ['19361', '19362', '19363', '19364']), ('sbo', 'SBO:0000375')])",,
UPP3S,Uroporphyrinogen-III synthase,"OrderedDict([('h2o_c', 1.0), ('hmbil_c', -1.0), ('uppg3_c', 1.0)])",0.0,1000.0,b3804,"OrderedDict([('bigg.reaction', 'UPP3S'), ('biocyc', 'META:UROGENIIISYN-RXN'), ('ec-code', '4.2.1.75'), ('kegg.reaction', 'R03165'), ('metanetx.reaction', 'MNXR105139'), ('rhea', ['18965', '18966', '18967', '18968']), ('sbo', 'SBO:0000375')])",,
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),"OrderedDict([('co2_c', 4.0), ('cpppg3_c', 1.0), ('h_c', -4.0), ('uppg3_c', -1.0)])",0.0,1000.0,b3997,"OrderedDict([('bigg.reaction', 'UPPDC1'), ('biocyc', 'META:UROGENDECARBOX-RXN'), ('ec-code', '4.1.1.37'), ('kegg.reaction', 'R03197'), ('metanetx.reaction', 'MNXR105140'), ('rhea', ['19865', '19866', '19867', '19868']), ('sbo', 'SBO:0000375')])",,
TMDPP,Thymidine phosphorylase,"OrderedDict([('2dr1p_c', 1.0), ('pi_c', -1.0), ('thym_c', 1.0), ('thymd_c', -1.0)])",0.0,1000.0,b4382,"OrderedDict([('bigg.reaction', 'TMDPP'), ('biocyc', 'META:THYM-PHOSPH-RXN'), ('ec-code', ['2.4.2.2', '2.4.2.4']), ('kegg.reaction', 'R01570'), ('metanetx.reaction', 'MNXR104887'), ('rhea', ['16037', '16038', '16039', '16040']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'TMDPP_reverse')])",
EX_ade_e,Adenine exchange,"OrderedDict([('ade_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'ade'), ('sbo', 'SBO:0000627')])",,
EX_4abut_e,4-Aminobutanoate exchange,"OrderedDict([('4abut_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', '4abut'), ('sbo', 'SBO:0000627')])",,
EX_ac_e,Acetate exchange,"OrderedDict([('ac_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'ac'), ('sbo', 'SBO:0000627')])",,
EX_akg_e,2-Oxoglutarate exchange,"OrderedDict([('akg_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'akg'), ('sbo', 'SBO:0000627')])",,
EX_ala__L_e,L-Alanine exchange,"OrderedDict([('ala__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'ala__L'), ('sbo', 'SBO:0000627')])",,
EX_arg__L_e,L-Arginine exchange,"OrderedDict([('arg__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'arg__L'), ('sbo', 'SBO:0000627')])",,
EX_asp__L_e,L-Aspartate exchange,"OrderedDict([('asp__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'asp__L'), ('sbo', 'SBO:0000627')])",,
EX_cytd_e,Cytidine exchange,"OrderedDict([('cytd_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'cytd'), ('sbo', 'SBO:0000627')])",,
EX_dcyt_e,Deoxycytidine exchange,"OrderedDict([('dcyt_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'dcyt'), ('sbo', 'SBO:0000627')])",,
EX_fum_e,Fumarate exchange,"OrderedDict([('fum_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'fum'), ('sbo', 'SBO:0000627')])",,
EX_glu__L_e,L-Glutamate exchange,"OrderedDict([('glu__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'glu__L'), ('sbo', 'SBO:0000627')])",,
EX_gua_e,Guanine exchange,"OrderedDict([('gua_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'gua'), ('sbo', 'SBO:0000627')])",,
HCO3E_num1,HCO3 equilibration reaction,"OrderedDict([('co2_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('hco3_c', 1.0)])",0.0,1000.0,b0126,"OrderedDict([('bigg.reaction', 'HCO3E'), ('biocyc', ['META:CARBODEHYDRAT-RXN', 'META:RXN0-5224']), ('ec-code', '4.2.1.1'), ('kegg.reaction', ['R00132', 'R10092']), ('metanetx.reaction', 'MNXR100482'), ('rhea', ['10748', '10749', '10750', '10751']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'HCO3E_reverse')])",
IMPC,IMP cyclohydrolase,"OrderedDict([('fprica_c', 1.0), ('h2o_c', -1.0), ('imp_c', -1.0)])",0.0,1000.0,b4006,"OrderedDict([('bigg.reaction', 'IMPC'), ('biocyc', 'META:IMPCYCLOHYDROLASE-RXN'), ('ec-code', ['2.1.2.3', '3.5.4.10']), ('kegg.reaction', 'R01127'), ('metanetx.reaction', 'MNXR100783'), ('rhea', ['18445', '18446', '18447', '18448']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'IMPC_reverse')])",
IMPD,IMP dehydrogenase,"OrderedDict([('h2o_c', -1.0), ('h_c', 1.0), ('imp_c', -1.0), ('nad_c', -1.0), ('nadh_c', 1.0), ('xmp_c', 1.0)])",0.0,1000.0,b2508,"OrderedDict([('bigg.reaction', 'IMPD'), ('biocyc', 'META:IMP-DEHYDROG-RXN'), ('ec-code', '1.1.1.205'), ('kegg.reaction', 'R01130'), ('metanetx.reaction', 'MNXR100830'), ('rhea', ['11708', '11709', '11710', '11711']), ('sbo', 'SBO:0000375')])",,
ECOAH4_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),"OrderedDict([('3hdcoa_c', -1.0), ('dc2coa_c', 1.0), ('h2o_c', 1.0)])",0.0,1000.0,b2341,"OrderedDict([('bigg.reaction', 'ECOAH4'), ('biocyc', 'META:RXN-13616'), ('ec-code', ['4.2.1.17', '4.2.1.74']), ('kegg.reaction', 'R04744'), ('metanetx.reaction', 'MNXR97889'), ('rhea', ['31191', '31192', '31193', '31194']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'ECOAH4_reverse')])",
GLUTRS,Glutamyl-tRNA synthetase,"OrderedDict([('amp_c', 1.0), ('atp_c', -1.0), ('glu__L_c', -1.0), ('glutrna_c', 1.0), ('ppi_c', 1.0), ('trnaglu_c', -1.0)])",0.0,1000.0,b2400,"OrderedDict([('bigg.reaction', 'GLUTRS'), ('ec-code', ['6.1.1.-', '6.1.1.17', '6.1.1.24']), ('kegg.reaction', 'R05578'), ('metanetx.reaction', 'MNXR100295'), ('sbo', 'SBO:0000375')])",,
TMPPP,Thiamine-phosphate diphosphorylase,"OrderedDict([('2mahmp_c', -1.0), ('4mpetz_c', -1.0), ('h_c', -1.0), ('ppi_c', 1.0), ('thmmp_c', 1.0)])",0.0,1000.0,b3993,"OrderedDict([('bigg.reaction', 'TMPPP'), ('biocyc', 'META:THI-P-SYN-RXN'), ('ec-code', '2.5.1.3'), ('kegg.reaction', 'R03223'), ('metanetx.reaction', 'MNXR104908'), ('rhea', ['22328', '22329', '22330', '22331']), ('sbo', 'SBO:0000375')])",,
URIK1,Uridine kinase  ATPUridine ,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('h_c', 1.0), ('ump_c', 1.0), ('uri_c', -1.0)])",0.0,1000.0,b2066,"OrderedDict([('bigg.reaction', 'URIK1'), ('biocyc', 'META:URIDINEKIN-RXN'), ('ec-code', ['2.7.1.213', '2.7.1.48']), ('kegg.reaction', 'R00964'), ('metanetx.reaction', 'MNXR105162'), ('rhea', ['16825', '16826', '16827', '16828']), ('sbo', 'SBO:0000375')])",,
URIK2,Uridine kinase (GTP:Uridine),"OrderedDict([('gdp_c', 1.0), ('gtp_c', -1.0), ('h_c', 1.0), ('ump_c', 1.0), ('uri_c', -1.0)])",0.0,1000.0,b2066,"OrderedDict([('bigg.reaction', 'URIK2'), ('biocyc', 'META:URKI-RXN'), ('ec-code', '2.7.1.48'), ('kegg.reaction', 'R00968'), ('metanetx.reaction', 'MNXR105163'), ('rhea', ['27650', '27651', '27652', '27653']), ('sbo', 'SBO:0000375')])",,
CYTDK1,ATP:cytidine 5'-phosphotransferase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('cmp_c', 1.0), ('cytd_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b2066,"OrderedDict([('bigg.reaction', 'CYTDK1'), ('biocyc', 'META:CYTIKIN-RXN'), ('ec-code', ['2.7.1.213', '2.7.1.48']), ('kegg.reaction', 'R00513'), ('metanetx.reaction', 'MNXR97041'), ('rhea', ['24674', '24675', '24676', '24677']), ('sbo', 'SBO:0000375')])",,
CYTDK2,Cytidine kinase (GTP),"OrderedDict([('cmp_c', 1.0), ('cytd_c', -1.0), ('gdp_c', 1.0), ('gtp_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b2066,"OrderedDict([('bigg.reaction', 'CYTDK2'), ('biocyc', 'META:CYTIDINEKIN-RXN'), ('ec-code', ['2.7.1.213', '2.7.1.48']), ('kegg.reaction', 'R00517'), ('metanetx.reaction', 'MNXR97042'), ('rhea', ['28162', '28163', '28164', '28165']), ('sbo', 'SBO:0000375')])",,
XPPT,Xanthine phosphoribosyltransferase,"OrderedDict([('ppi_c', 1.0), ('prpp_c', -1.0), ('xan_c', -1.0), ('xmp_c', 1.0)])",0.0,1000.0,b0238,"OrderedDict([('bigg.reaction', 'XPPT'), ('biocyc', 'META:XANPRIBOSYLTRAN-RXN'), ('ec-code', ['2.4.2.22', '2.4.2.8']), ('kegg.reaction', 'R02142'), ('metanetx.reaction', 'MNXR105243'), ('rhea', ['10800', '10801', '10802', '10803']), ('sbo', 'SBO:0000375')])",,
HXPRT_num1,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),"OrderedDict([('hxan_c', -1.0), ('imp_c', 1.0), ('ppi_c', 1.0), ('prpp_c', -1.0)])",0.0,1000.0,b0238,"OrderedDict([('bigg.reaction', 'HXPRT'), ('biocyc', 'META:HYPOXANPRIBOSYLTRAN-RXN'), ('ec-code', '2.4.2.8'), ('kegg.reaction', 'R01132'), ('metanetx.reaction', 'MNXR100752'), ('rhea', ['17973', '17974', '17975', '17976']), ('sbo', 'SBO:0000375')])",,
NDPK5_num1,Nucleoside-diphosphate kinase (ATP:dGDP),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('dgdp_c', -1.0), ('dgtp_c', 1.0)])",0.0,1000.0,b0474,"OrderedDict([('bigg.reaction', 'NDPK5'), ('biocyc', 'META:DGDPKIN-RXN'), ('ec-code', '2.7.4.6'), ('kegg.reaction', 'R01857'), ('metanetx.reaction', 'MNXR96118'), ('rhea', ['27690', '27691', '27692', '27693']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'NDPK5_reverse')])",
DHORTS,Dihydroorotase,"OrderedDict([('cbasp_c', 1.0), ('dhor__S_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b1062,"OrderedDict([('bigg.reaction', 'DHORTS'), ('biocyc', 'META:DIHYDROOROT-RXN'), ('ec-code', '3.5.2.3'), ('kegg.reaction', 'R01993'), ('metanetx.reaction', 'MNXR97428'), ('rhea', ['24296', '24297', '24298', '24299']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'DHORTS_reverse')])",
OMPDC,Orotidine-5'-phosphate decarboxylase,"OrderedDict([('co2_c', 1.0), ('h_c', -1.0), ('orot5p_c', -1.0), ('ump_c', 1.0)])",0.0,1000.0,b1281,"OrderedDict([('bigg.reaction', 'OMPDC'), ('biocyc', 'META:OROTPDECARB-RXN'), ('ec-code', '4.1.1.23'), ('kegg.reaction', 'R00965'), ('metanetx.reaction', 'MNXR102190'), ('rhea', ['11596', '11597', '11598', '11599']), ('sbo', 'SBO:0000375')])",,
CS,Citrate synthase,"OrderedDict([('accoa_c', -1.0), ('cit_c', 1.0), ('coa_c', 1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('oaa_c', -1.0)])",0.0,1000.0,b0720,"OrderedDict([('bigg.reaction', 'CS'), ('biocyc', ['META:CITSYN-RXN', 'META:RXN-14905']), ('ec-code', ['2.3.3.1', '2.3.3.16', '2.3.3.3']), ('kegg.reaction', 'R00351'), ('metanetx.reaction', 'MNXR96920'), ('rhea', ['16845', '16846', '16847', '16848']), ('sbo', 'SBO:0000375')])",,
ICDHyr,Isocitrate dehydrogenase (NADP),"OrderedDict([('akg_c', 1.0), ('co2_c', 1.0), ('icit_c', -1.0), ('nadp_c', -1.0), ('nadph_c', 1.0)])",0.0,1000.0,b1136,"OrderedDict([('bigg.reaction', 'ICDHyr'), ('ec-code', '1.1.1.42'), ('kegg.reaction', 'R00267'), ('metanetx.reaction', 'MNXR100781'), ('rhea', ['19629', '19630', '19631', '19632']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'ICDHyr_reverse')])",
ACALD_num1,Acetaldehyde dehydrogenase (acetylating),"OrderedDict([('acald_c', -1.0), ('accoa_c', 1.0), ('coa_c', -1.0), ('h_c', 1.0), ('nad_c', -1.0), ('nadh_c', 1.0)])",0.0,1000.0,b0351,"OrderedDict([('bigg.reaction', 'ACALD'), ('biocyc', 'META:ACETALD-DEHYDROG-RXN'), ('ec-code', '1.2.1.10'), ('kegg.reaction', 'R00228'), ('metanetx.reaction', 'MNXR95210'), ('rhea', ['23288', '23289', '23290', '23291']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'ACALD_reverse')])",
ACS,Acetyl-CoA synthetase,"OrderedDict([('ac_c', -1.0), ('accoa_c', 1.0), ('amp_c', 1.0), ('atp_c', -1.0), ('coa_c', -1.0), ('ppi_c', 1.0)])",0.0,1000.0,b4069,"OrderedDict([('bigg.reaction', 'ACS'), ('biocyc', 'META:ACETATE--COA-LIGASE-RXN'), ('ec-code', '6.2.1.1'), ('kegg.reaction', 'R00235'), ('metanetx.reaction', 'MNXR95413'), ('rhea', ['23176', '23177', '23178', '23179']), ('sbo', 'SBO:0000375')])",,
PPA_num1,Inorganic diphosphatase,"OrderedDict([('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 2.0), ('ppi_c', -1.0)])",0.0,1000.0,b2502,"OrderedDict([('bigg.reaction', 'PPA'), ('biocyc', 'META:INORGPYROPHOSPHAT-RXN'), ('ec-code', '3.6.1.1'), ('kegg.reaction', 'R00004'), ('metanetx.reaction', 'MNXR100808'), ('rhea', ['24576', '24577', '24578', '24579']), ('sbo', 'SBO:0000375')])",,
PPCK,Phosphoenolpyruvate carboxykinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('co2_c', 1.0), ('oaa_c', -1.0), ('pep_c', 1.0)])",0.0,1000.0,b3403,"OrderedDict([('bigg.reaction', 'PPCK'), ('biocyc', 'META:PEPCARBOXYKIN-RXN'), ('ec-code', '4.1.1.49'), ('kegg.reaction', 'R00341'), ('metanetx.reaction', 'MNXR103099'), ('rhea', ['18617', '18618', '18619', '18620']), ('sbo', 'SBO:0000375')])",,
ME1,Malic enzyme (NAD),"OrderedDict([('co2_c', 1.0), ('mal__L_c', -1.0), ('nad_c', -1.0), ('nadh_c', 1.0), ('pyr_c', 1.0)])",0.0,1000.0,b1479,"OrderedDict([('bigg.reaction', 'ME1'), ('biocyc', 'META:1.1.1.39-RXN'), ('ec-code', ['1.1.1.38', '1.1.1.39']), ('kegg.reaction', 'R00214'), ('metanetx.reaction', 'MNXR101446'), ('rhea', ['12653', '12654', '12655', '12656']), ('sbo', 'SBO:0000375')])",,
